output to first exmaple : 
[from : 0 to :14]
[from : 14 to :4]
[from : 4 to :19]
[from : 19 to :25]
[from : 25 to :26]
[from : 26 to :8]
[from : 8 to :23]
[from : 23 to :9]
[from : 9 to :13]
[from : 13 to :29]
[from : 29 to :3]
[from : 3 to :11]
[from : 11 to :7]
[from : 7 to :6]
[from : 6 to :16]
[from : 16 to :22]
[from : 22 to :10]
[from : 10 to :5]
[from : 5 to :20]
[from : 20 to :15]
[from : 15 to :18]
[from : 18 to :21]
[from : 21 to :12]
[from : 12 to :27]
[from : 27 to :2]
[from : 2 to :17]
[from : 17 to :24]
[from : 24 to :1]
[from : 1 to :28]
[from : 28 to :0]
output to secound exmaple : 
[from : Roswell, NM to :Santa Fe, NM]
[from : Trenton, NJ to :Stroudsburg, PA]
[from : Stroudsburg, PA to :Scranton, PA]
[from : Scranton, PA to :Williamsport, PA]
[from : Williamsport, PA to :Syracuse, NY]
[from : Syracuse, NY to :Watertown, NY]
[from : Watertown, NY to :Utica, NY]
[from : Utica, NY to :Schenectady, NY]
[from : Schenectady, NY to :Springfield, MA]
[from : Springfield, MA to :Worcester, MA]
[from : Worcester, MA to :Waterbury, CT]
[from : Waterbury, CT to :Rutland, VT]
[from : Rutland, VT to :Saint Johnsbury, VT]
[from : Saint Johnsbury, VT to :Rochester, NY]
[from : Rochester, NY to :Reading, PA]
[from : Reading, PA to :Richmond, VA]
[from : Richmond, VA to :Rocky Mount, NC]
[from : Rocky Mount, NC to :Wilmington, NC]
[from : Wilmington, NC to :Staunton, VA]
[from : Staunton, VA to :Roanoke, VA]
[from : Roanoke, VA to :Winston-Salem, NC]
[from : Winston-Salem, NC to :Sumter, SC]
[from : Sumter, SC to :Savannah, GA]
[from : Savannah, GA to :Swainsboro, GA]
[from : Swainsboro, GA to :Waycross, GA]
[from : Waycross, GA to :Valdosta, GA]
[from : Valdosta, GA to :Tallahassee, FL]
[from : Tallahassee, FL to :Saint Augustine, FL]
[from : Saint Augustine, FL to :Tampa, FL]
[from : Tampa, FL to :Sarasota, FL]
[from : Sarasota, FL to :West Palm Beach, FL]
[from : West Palm Beach, FL to :Williamson, WV]
[from : Williamson, WV to :Saginaw, MI]
[from : Saginaw, MI to :Traverse City, MI]
[from : Traverse City, MI to :Sault Sainte Marie, MI]
[from : Sault Sainte Marie, MI to :Victoria, TX]
[from : Victoria, TX to :Roswell, NM]
